,Capacitive axis,,,Inductive axis,,,,,,MHWP_v2,,,,Temperature (K),
Freq,Tx_C,Rx_C,Abs_C,Tx_L,Rx_L,Abs_L,DPh,45d X-Pol,Model:,Msh_HWP_Toltec_2019_01_13c,,,,emitted,reflected
220,0.976064,0.0168889,0.00704728,0.986483,0.00365145,0.0098651,192.1539,-19.584464,,,,,,290,45
221,0.971446,0.0212403,0.00731353,0.986336,0.00390242,0.00976164,192.07844,-19.646021,,,,,,290,45
222,0.966516,0.0258682,0.00761588,0.985678,0.00467232,0.00965002,192.00894,-19.704593,,,,,,290,45
223,0.961496,0.0305506,0.00795336,0.984604,0.00586565,0.00953023,191.94439,-19.760339,,,,,,290,45
224,0.956617,0.0350584,0.00832506,0.983231,0.00736628,0.00940307,191.883,-19.814113,,,,,,290,45
225,0.9521,0.0391693,0.00873062,0.981684,0.00904614,0.00926942,191.82219,-19.867342,,,,,,290,45
226,0.94815,0.0426802,0.00916978,0.980095,0.0107743,0.00913053,191.75882,-19.921985,,,,,,290,45
227,0.944939,0.0454185,0.00964253,0.978586,0.0124255,0.00898808,191.68914,-19.980526,,,,,,290,45
228,0.9426,0.0472507,0.0101491,0.977269,0.013888,0.00884346,191.60912,-20.045736,,,,,,290,45
229,0.941221,0.0480886,0.0106901,0.976232,0.0150695,0.00869825,191.51458,-20.120663,,,,,,290,45
230,0.94084,0.0478933,0.0112665,0.975544,0.0159016,0.00855394,191.40127,-20.208562,,,,,,290,45
231,0.941943,0.0467127,0.0113442,0.975118,0.0163374,0.00854489,191.38199,-20.224604,,,,,,290,45
232,0.944048,0.0445927,0.0113594,0.975098,0.0163542,0.00854739,191.35793,-20.242139,,,,,,290,45
233,0.947048,0.0416421,0.0113103,0.975481,0.0159605,0.008558,191.32639,-20.263107,,,,,,290,45
234,0.950796,0.0380106,0.0111938,0.976238,0.0151899,0.00857252,191.28535,-20.289046,,,,,,290,45
235,0.955113,0.0338818,0.0110055,0.977316,0.0140973,0.0085863,191.23369,-20.321135,,,,,,290,45
