,Capacitive axis,,,Inductive axis,,,,,,MHWP_v1,,,,Temperature (K),
Freq,Tx_C,Rx_C,Abs_C,Tx_L,Rx_L,Abs_L,DPh,45d X-Pol,Model:,Msh_HWP_Toltec_2019_01_13g,,,,emitted,reflected
162,0.968669,0.0234677,0.00786364,0.975762,0.000738149,0.0235002,190.10359,-21.225331,,,,,,290,25
163,0.969291,0.0225591,0.00815007,0.975289,0.00174424,0.0229667,190.83388,-20.62123,,,,,,290,25
164,0.97024,0.0213169,0.00844278,0.973495,0.00405021,0.0224551,191.55745,-20.064177,,,,,,290,25
165,0.971417,0.019843,0.00873986,0.970229,0.00780604,0.0219652,192.26474,-19.555039,,,,,,290,25
166,0.972713,0.0182482,0.00903878,0.96542,0.0130827,0.0214978,192.94578,-19.094262,,,,,,290,25
167,0.974017,0.016646,0.00933658,0.959082,0.0198633,0.0210551,193.59078,-18.681797,,,,,,290,25
168,0.975224,0.0151454,0.0096305,0.951318,0.0280422,0.0206399,194.19077,-18.317054,,,,,,290,25
169,0.976237,0.013845,0.00991785,0.942311,0.0374325,0.0202561,194.73806,-17.998866,,,,,,290,25
170,0.976977,0.0128269,0.0101959,0.932313,0.0477793,0.0199074,195.22681,-17.725488,,,,,,290,25
171,0.977687,0.012066,0.0102468,0.921863,0.0587472,0.0193896,195.55776,-17.545564,,,,,,290,25
172,0.978082,0.011662,0.0102565,0.911091,0.0700285,0.0188803,195.80734,-17.41208,,,,,,290,25
173,0.978147,0.0116268,0.0102262,0.900329,0.0812852,0.0183855,195.97619,-17.322179,,,,,,290,25
174,0.977895,0.0119478,0.0101572,0.8899,0.0921892,0.0179104,196.06704,-17.272784,,,,,,290,25
175,0.977359,0.0125893,0.0100514,0.880103,0.102437,0.0174601,196.08445,-17.260749,,,,,,290,25
176,0.976593,0.0134961,0.00991048,0.871201,0.11176,0.0170389,196.03439,-17.282889,,,,,,290,25
177,0.975666,0.0145974,0.00973641,0.863421,0.119929,0.0166501,195.92402,-17.335958,,,,,,290,25
178,0.974656,0.0158126,0.00953123,0.856945,0.126759,0.0162963,195.76118,-17.416737,,,,,,290,25
179,0.973647,0.0170564,0.0092968,0.851911,0.132109,0.0159792,195.55416,-17.522034,,,,,,290,25
180,0.97272,0.0182448,0.0090348,0.848416,0.135884,0.0156999,195.31131,-17.648687,,,,,,290,25
181,0.971534,0.0193818,0.00908468,0.846524,0.138018,0.0154578,195.15683,-17.734214,,,,,,290,25
182,0.970517,0.020313,0.00917001,0.846273,0.138475,0.0152519,195.00427,-17.821943,,,,,,290,25
183,0.969732,0.0209757,0.00929214,0.847651,0.137269,0.0150797,194.86124,-17.907568,,,,,,290,25
184,0.969225,0.0213228,0.00945204,0.850607,0.134455,0.0149382,194.73472,-17.986711,,,,,,290,25
185,0.969024,0.021325,0.00965067,0.855056,0.13012,0.0148238,194.63091,-18.055022,,,,,,290,25
186,0.969141,0.0209713,0.00988801,0.860879,0.124389,0.0147319,194.5551,-18.108318,,,,,,290,25
187,0.969567,0.0202688,0.0101645,0.867924,0.117418,0.014658,194.51158,-18.142801,,,,,,290,25
188,0.970279,0.0192418,0.0104795,0.876008,0.109395,0.0145969,194.50357,-18.155294,,,,,,290,25
189,0.971237,0.0179302,0.0108326,0.884923,0.100534,0.0145433,194.53318,-18.143429,,,,,,290,25
190,0.972391,0.0163862,0.0112232,0.894438,0.09107,0.0144918,194.60138,-18.105912,,,,,,290,25
191,0.973898,0.0146729,0.0114288,0.904244,0.0812594,0.014497,194.63581,-18.083174,,,,,,290,25
192,0.97552,0.0128552,0.0116246,0.914148,0.0713609,0.0144915,194.69366,-18.043466,,,,,,290,25
193,0.977187,0.0110032,0.0118096,0.923906,0.0616273,0.0144667,194.77249,-17.988693,,,,,,290,25
194,0.978832,0.00918542,0.0119823,0.933289,0.0522954,0.0144158,194.8689,-17.921586,,,,,,290,25
195,0.980393,0.00746526,0.0121418,0.942092,0.043575,0.0143333,194.97882,-17.84549,,,,,,290,25
196,0.981816,0.00589754,0.0122869,0.950145,0.0356392,0.0142154,195.09766,-17.764027,,,,,,290,25
197,0.983057,0.00452572,0.012417,0.957324,0.0286163,0.0140601,195.22051,-17.680954,,,,,,290,25
198,0.984089,0.00337984,0.0125311,0.963548,0.0225849,0.0138669,195.34248,-17.599798,,,,,,290,25
199,0.984896,0.00247552,0.0126287,0.96879,0.0175719,0.0136378,195.45884,-17.523688,,,,,,290,25
200,0.985477,0.00181386,0.0127089,0.973069,0.0135555,0.0133755,195.56525,-17.455328,,,,,,290,25
201,0.986098,0.00141432,0.0124878,0.976593,0.0104317,0.0129755,195.67516,-17.386384,,,,,,290,25
202,0.98659,0.00120714,0.0122027,0.979304,0.00814684,0.0125496,195.77152,-17.32696,,,,,,290,25
203,0.986995,0.00114962,0.011855,0.981319,0.00657754,0.0121037,195.85176,-17.278118,,,,,,290,25
204,0.987359,0.00119403,0.0114469,0.982771,0.00558517,0.0116438,195.914,-17.240457,,,,,,290,25
205,0.987728,0.00129206,0.0109801,0.983799,0.00502645,0.0111741,195.95698,-17.214183,,,,,,290,25
206,0.988143,0.00139953,0.0104572,0.984538,0.00476348,0.010699,195.98015,-17.199155,,,,,,290,25
207,0.988639,0.00148063,0.00988073,0.985106,0.00467228,0.010222,195.98343,-17.195053,,,,,,290,25
208,0.989235,0.00151162,0.00925375,0.985604,0.00464943,0.0097464,195.9672,-17.201396,,,,,,290,25
209,0.989937,0.00148366,0.00857934,0.986108,0.00461675,0.00927524,195.93231,-17.217606,,,,,,290,25
210,0.990735,0.00140457,0.00786049,0.986664,0.00452387,0.00881189,195.87978,-17.243104,,,,,,290,25
211,0.991058,0.00133497,0.00760674,0.987093,0.00432706,0.00858003,195.88437,-17.238974,,,,,,290,25
212,0.99132,0.00128839,0.00739142,0.987566,0.00404799,0.00838566,195.88836,-17.235213,,,,,,290,25
213,0.991478,0.00131039,0.00721164,0.988054,0.00371916,0.00822692,195.89331,-17.231142,,,,,,290,25
214,0.991482,0.00145344,0.00706407,0.988505,0.00339348,0.00810122,195.90061,-17.226215,,,,,,290,25
215,0.991282,0.00177306,0.00694496,0.988856,0.00313844,0.0080056,195.9115,-17.220025,,,,,,290,25
216,0.990826,0.00232345,0.00685048,0.989035,0.0030295,0.00793591,195.92688,-17.212334,,,,,,290,25
217,0.99007,0.00315312,0.00677737,0.98897,0.00314296,0.0078873,195.94738,-17.203057,,,,,,290,25
218,0.988977,0.00430065,0.00672263,0.988597,0.00354894,0.00785408,195.97333,-17.192265,,,,,,290,25
219,0.987525,0.00579077,0.00668382,0.987865,0.00430471,0.0078305,196.0047,-17.180128,,,,,,290,25
220,0.985708,0.00763168,0.0066605,0.986741,0.00544919,0.00780974,196.04125,-17.166899,,,,,,290,25
221,0.983462,0.00981451,0.00672309,0.985233,0.00702613,0.00774098,195.96794,-17.214679,,,,,,290,25
222,0.98086,0.0123182,0.00682147,0.983309,0.00900989,0.00768155,195.87859,-17.27306,,,,,,290,25
223,0.97795,0.0150936,0.00695614,0.981001,0.0113675,0.00763161,195.77284,-17.342227,,,,,,290,25
224,0.974801,0.0180725,0.00712684,0.978366,0.0140424,0.00759195,195.65027,-17.422358,,,,,,290,25
225,0.971497,0.0211698,0.00733282,0.975479,0.0169572,0.00756335,195.51043,-17.513567,,,,,,290,25
226,0.96814,0.0242883,0.00757216,0.972435,0.0200181,0.00754659,195.35291,-17.615954,,,,,,290,25
227,0.964835,0.0273223,0.00784292,0.969337,0.02312,0.00754304,195.17723,-17.729637,,,,,,290,25
228,0.961695,0.0301634,0.00814202,0.966293,0.0261527,0.00755399,194.98296,-17.85477,,,,,,290,25
229,0.958829,0.0327058,0.00846552,0.963413,0.0290062,0.00758106,194.76967,-17.991556,,,,,,290,25
230,0.956339,0.0348509,0.00881008,0.960797,0.0315759,0.00762661,194.53683,-18.140377,,,,,,290,25
231,0.954327,0.0367093,0.00896386,0.958636,0.0337066,0.0076578,194.39329,-18.235597,,,,,,290,25
232,0.952819,0.0380785,0.00910262,0.956952,0.035361,0.00768693,194.24975,-18.329468,,,,,,290,25
233,0.951862,0.0389114,0.00922614,0.955814,0.0364736,0.00771207,194.10625,-18.421716,,,,,,290,25
234,0.951486,0.0391799,0.00933395,0.95527,0.0369986,0.00773162,193.96279,-18.512173,,,,,,290,25
235,0.951697,0.0388768,0.00942576,0.955344,0.0369115,0.00774416,193.81951,-18.600696,,,,,,290,25
236,0.952482,0.0380162,0.00950134,0.956042,0.0362101,0.00774771,193.67662,-18.687169,,,,,,290,25
237,0.953807,0.0366334,0.00956003,0.957345,0.0349147,0.00774049,193.53438,-18.771584,,,,,,290,25
238,0.955614,0.0347842,0.00960142,0.959213,0.0330672,0.00771979,193.39309,-18.853956,,,,,,290,25
239,0.957832,0.0325432,0.00962456,0.961587,0.0307301,0.00768325,193.25314,-18.934345,,,,,,290,25
240,0.96037,0.0300018,0.00962815,0.964388,0.027984,0.00762778,193.11492,-19.012899,,,,,,290,25
241,0.963439,0.0269789,0.00958179,0.967517,0.0250135,0.00746991,192.871,-19.161278,,,,,,290,25
242,0.966658,0.0238202,0.00952176,0.970864,0.0218481,0.00728778,192.60797,-19.325094,,,,,,290,25
243,0.969893,0.020658,0.00944892,0.974321,0.0185971,0.00708179,192.3258,-19.505893,,,,,,290,25
244,0.973009,0.0176276,0.00936352,0.977776,0.0153705,0.00685317,192.0247,-19.705144,,,,,,290,25
245,0.975873,0.014862,0.00926541,0.981123,0.0122742,0.00660326,191.70504,-19.924376,,,,,,290,25
246,0.978363,0.0124834,0.00915406,0.984261,0.00940507,0.00633372,191.36738,-20.165049,,,,,,290,25
247,0.980374,0.0105981,0.00902841,0.987107,0.00684655,0.00604677,191.01245,-20.428596,,,,,,290,25
